ticker,relative_path,rows,start_date,end_date,include
ALLI.N0000,has_data/ALLI.N0000.json,2264,2016-01-06,2025-12-30,yes
ACME.N0000,has_data/ACME.N0000.json,2259,2016-01-03,2025-12-30,yes
ECL.N0000,has_data/ECL.N0000.json,2256,2016-01-03,2025-12-30,yes
AAF.N0000,has_data/AAF.N0000.json,2255,2016-01-03,2025-12-30,yes
LHCL.N0000,has_data/LHCL.N0000.json,2252,2016-01-03,2025-12-30,yes
CITW.N0000,has_data/CITW.N0000.json,2251,2016-01-04,2025-12-30,yes
EAST.N0000,has_data/EAST.N0000.json,2243,2016-01-04,2025-12-30,yes
PARQ.N0000,has_data/PARQ.N0000.json,2241,2016-01-03,2025-12-30,yes
EMER.N0000,has_data/EMER.N0000.json,2240,2016-01-03,2025-12-30,yes
SINS.N0000,has_data/SINS.N0000.json,2240,2016-01-03,2025-12-30,yes
ELPL.N0000,has_data/ELPL.N0000.json,2238,2016-01-03,2025-12-30,yes
KZOO.N0000,has_data/KZOO.N0000.json,2237,2016-01-04,2025-12-30,yes
CLND.N0000,has_data/CLND.N0000.json,2234,2016-01-03,2025-12-30,yes
TAJ.N0000,has_data/TAJ.N0000.json,2233,2016-01-03,2025-12-30,yes
TESS.N0000,has_data/TESS.N0000.json,2233,2016-01-03,2025-12-30,yes
ACAP.N0000,has_data/ACAP.N0000.json,2232,2016-01-03,2025-12-30,yes
CTBL.N0000,has_data/CTBL.N0000.json,2232,2016-01-03,2025-12-30,yes
BRWN.N0000,has_data/BRWN.N0000.json,2229,2016-01-04,2025-12-30,yes
ATL.N0000,has_data/ATL.N0000.json,2227,2016-01-03,2025-12-30,yes
MADU.N0000,has_data/MADU.N0000.json,2225,2016-01-03,2025-12-30,yes
CCS.N0000,has_data/CCS.N0000.json,2216,2016-01-03,2025-12-30,yes
APLA.N0000,has_data/APLA.N0000.json,2206,2016-01-03,2025-12-30,yes
KGAL.N0000,has_data/KGAL.N0000.json,2200,2016-01-03,2025-12-30,yes
MASK.N0000,has_data/MASK.N0000.json,2199,2016-01-03,2025-12-30,yes
VLL.N0000,has_data/VLL.N0000.json,2196,2016-01-03,2025-12-30,yes
AHPL.N0000,has_data/AHPL.N0000.json,2195,2016-01-05,2025-12-30,yes
COCO.N0000,has_data/COCO.N0000.json,2194,2016-01-03,2025-12-30,yes
MULL.N0000,has_data/MULL.N0000.json,2193,2016-01-04,2025-12-30,yes
DIPD.N0000,has_data/DIPD.N0000.json,2191,2016-01-03,2025-12-30,yes
EDEN.N0000,has_data/EDEN.N0000.json,2188,2016-01-03,2025-12-30,yes
KHC.N0000,has_data/KHC.N0000.json,2187,2016-01-03,2025-12-30,yes
CIC.N0000,has_data/CIC.N0000.json,2185,2016-01-04,2025-12-30,yes
RHL.N0000,has_data/RHL.N0000.json,2184,2016-01-03,2025-12-30,yes
CIC.X0000,has_data/CIC.X0000.json,2183,2016-01-03,2025-12-30,yes
CFLB.N0000,has_data/CFLB.N0000.json,2180,2016-01-03,2025-12-30,yes
UML.N0000,has_data/UML.N0000.json,2178,2016-01-03,2025-12-30,yes
HPFL.N0000,has_data/HPFL.N0000.json,2177,2016-01-03,2025-12-30,yes
WAPO.N0000,has_data/WAPO.N0000.json,2165,2016-01-03,2025-12-30,yes
BFN.N0000,has_data/BFN.N0000.json,2164,2016-02-17,2025-12-30,yes
CSF.N0000,has_data/CSF.N0000.json,2161,2016-01-03,2025-07-18,yes
BBH.N0000,has_data/BBH.N0000.json,2149,2016-01-03,2025-12-30,yes
CARG.N0000,has_data/CARG.N0000.json,2146,2016-01-04,2025-12-30,yes
BOGA.N0000,has_data/BOGA.N0000.json,2145,2016-01-03,2025-12-30,yes
NHL.N0000,has_data/NHL.N0000.json,2145,2016-01-03,2025-12-30,yes
BOPL.N0000,has_data/BOPL.N0000.json,2141,2016-01-03,2025-12-30,yes
CRL.N0000,has_data/CRL.N0000.json,2136,2016-01-04,2025-12-30,yes
HDFC.N0000,has_data/HDFC.N0000.json,2132,2016-01-04,2025-12-30,yes
AGST.N0000,has_data/AGST.N0000.json,2125,2016-01-03,2025-12-30,yes
DIMO.N0000,has_data/DIMO.N0000.json,2110,2016-01-03,2025-12-30,yes
ASCO.N0000,has_data/ASCO.N0000.json,2109,2016-01-03,2025-12-30,yes
GUAR.N0000,has_data/GUAR.N0000.json,2108,2016-01-03,2025-12-30,yes
ABAN.N0000,has_data/ABAN.N0000.json,2107,2016-01-03,2025-12-30,yes
TAP.N0000,has_data/TAP.N0000.json,2106,2016-01-05,2025-12-30,yes
MELS.N0000,has_data/MELS.N0000.json,2101,2016-12-29,2025-12-30,yes
CITH.N0000,has_data/CITH.N0000.json,2092,2016-01-10,2025-12-30,yes
MAL.N0000,has_data/MAL.N0000.json,2089,2016-01-03,2025-12-28,yes
LITE.N0000,has_data/LITE.N0000.json,2083,2016-01-03,2025-12-30,yes
MHDL.N0000,has_data/MHDL.N0000.json,2077,2016-01-03,2025-12-30,yes
TPL.N0000,has_data/TPL.N0000.json,2076,2016-01-03,2025-12-30,yes
HPWR.N0000,has_data/HPWR.N0000.json,2064,2016-01-03,2025-12-29,yes
ODEL.N0000,has_data/ODEL.N0000.json,2061,2016-01-03,2025-12-30,yes
SUN.N0000,has_data/SUN.N0000.json,2058,2016-01-03,2025-12-30,yes
RHTL.N0000,has_data/RHTL.N0000.json,2056,2016-01-05,2025-12-30,yes
TILE.N0000,has_data/TILE.N0000.json,2045,2016-01-05,2025-12-30,yes
CDB.X0000,has_data/CDB.X0000.json,2043,2016-01-03,2025-12-30,yes
NAMU.N0000,has_data/NAMU.N0000.json,2042,2016-01-04,2025-12-30,yes
SHL.N0000,has_data/SHL.N0000.json,2038,2016-01-03,2025-12-30,yes
UDPL.N0000,has_data/UDPL.N0000.json,2034,2016-01-03,2025-12-30,yes
CWM.N0000,has_data/CWM.N0000.json,2028,2016-01-04,2025-12-30,yes
UAL.N0000,has_data/UAL.N0000.json,2020,2016-01-03,2025-12-30,yes
PEG.N0000,has_data/PEG.N0000.json,2019,2016-01-03,2025-12-30,yes
HAYC.N0000,has_data/HAYC.N0000.json,2010,2016-01-03,2025-12-30,yes
PMB.N0000,has_data/PMB.N0000.json,2006,2016-01-04,2025-12-30,yes
BUKI.N0000,has_data/BUKI.N0000.json,2003,2016-01-03,2025-12-30,yes
STAF.N0000,has_data/STAF.N0000.json,2000,2016-01-04,2025-12-30,yes
TESS.X0000,has_data/TESS.X0000.json,2000,2016-01-03,2025-12-30,yes
CHOT.N0000,has_data/CHOT.N0000.json,1997,2016-01-03,2025-12-30,yes
DIST.N0000,has_data/DIST.N0000.json,1997,2016-01-03,2025-12-30,yes
MEL.N0000,has_data/MEL.N0000.json,1994,2016-01-03,2025-12-30,yes
CARS.N0000,has_data/CARS.N0000.json,1993,2016-01-03,2025-12-30,yes
KCAB.N0000,has_data/KCAB.N0000.json,1987,2016-01-04,2025-12-30,yes
SINH.N0000,has_data/SINH.N0000.json,1983,2016-01-03,2025-12-30,yes
COLO.N0000,has_data/COLO.N0000.json,1969,2016-01-04,2025-12-30,yes
LALU.N0000,has_data/LALU.N0000.json,1968,2016-01-03,2025-12-30,yes
PALM.N0000,has_data/PALM.N0000.json,1968,2016-01-03,2025-12-30,yes
RIL.N0000,has_data/RIL.N0000.json,1961,2017-05-03,2025-12-30,yes
LMF.N0000,has_data/LMF.N0000.json,1943,2016-01-05,2025-12-30,yes
HSIG.N0000,has_data/HSIG.N0000.json,1941,2016-01-03,2025-12-30,yes
CDB.N0000,has_data/CDB.N0000.json,1939,2016-01-03,2025-12-30,yes
LCEY.N0000,has_data/LCEY.N0000.json,1929,2016-01-05,2025-12-30,yes
EXPO.N0000,has_data/EXPO.N0000.json,1922,2016-01-03,2024-02-29,yes
CONN.N0000,has_data/CONN.N0000.json,1912,2016-01-05,2025-12-30,yes
LION.N0000,has_data/LION.N0000.json,1907,2016-01-03,2025-12-30,yes
HAPU.N0000,has_data/HAPU.N0000.json,1897,2016-01-05,2025-12-30,yes
AGAL.N0000,has_data/AGAL.N0000.json,1895,2016-01-03,2025-12-30,yes
HOPL.N0000,has_data/HOPL.N0000.json,1894,2016-01-03,2025-12-30,yes
MRH.N0000,has_data/MRH.N0000.json,1886,2016-01-03,2025-12-29,yes
CTLD.N0000,has_data/CTLD.N0000.json,1879,2016-01-03,2025-12-30,yes
BPPL.N0000,has_data/BPPL.N0000.json,1877,2017-04-03,2025-12-30,yes
BRR.N0000,has_data/BRR.N0000.json,1859,2016-01-03,2025-12-30,yes
BLUE.N0000,has_data/BLUE.N0000.json,1855,2016-01-03,2024-12-08,yes
COMD.N0000,has_data/COMD.N0000.json,1830,2016-01-04,2025-12-30,yes
COCO.X0000,has_data/COCO.X0000.json,1819,2016-01-03,2025-12-30,yes
KFP.N0000,has_data/KFP.N0000.json,1813,2016-01-03,2025-12-30,yes
MAL.X0000,has_data/MAL.X0000.json,1805,2016-01-04,2025-12-23,yes
KAHA.N0000,has_data/KAHA.N0000.json,1797,2016-01-05,2025-12-30,yes
BLUE.X0000,has_data/BLUE.X0000.json,1796,2016-01-03,2024-12-08,yes
LVEF.N0000,has_data/LVEF.N0000.json,1791,2018-01-08,2025-12-30,no
AINS.N0000,has_data/AINS.N0000.json,1787,2016-01-04,2025-12-30,yes
CHMX.N0000,has_data/CHMX.N0000.json,1784,2016-01-04,2025-12-30,yes
AFSL.N0000,has_data/AFSL.N0000.json,1780,2016-01-03,2025-12-30,yes
CINS.X0000,has_data/CINS.X0000.json,1778,2016-01-05,2025-12-30,yes
RGEM.N0000,has_data/RGEM.N0000.json,1766,2016-01-03,2025-12-30,yes
CABO.N0000,has_data/CABO.N0000.json,1748,2016-01-04,2025-12-30,yes
ASPH.N0000,has_data/ASPH.N0000.json,1747,2016-01-05,2025-12-30,yes
HPL.N0000,has_data/HPL.N0000.json,1745,2018-02-01,2025-12-30,no
PHAR.N0000,has_data/PHAR.N0000.json,1741,2016-01-03,2025-12-30,yes
RHL.X0000,has_data/RHL.X0000.json,1739,2016-01-03,2025-12-30,yes
RENU.N0000,has_data/RENU.N0000.json,1738,2016-01-03,2025-12-30,yes
TSML.N0000,has_data/TSML.N0000.json,1729,2016-01-03,2025-12-30,yes
RPBH.N0000,has_data/RPBH.N0000.json,1723,2016-01-17,2025-12-30,yes
SIGV.N0000,has_data/SIGV.N0000.json,1722,2016-01-04,2025-12-30,yes
KVAL.N0000,has_data/KVAL.N0000.json,1696,2016-01-13,2025-12-30,yes
CHL.N0000,has_data/CHL.N0000.json,1674,2016-01-03,2025-12-30,yes
CALF.N0000,has_data/CALF.N0000.json,1669,2016-01-03,2025-12-30,yes
LHL.N0000,has_data/LHL.N0000.json,1664,2016-01-04,2025-12-30,yes
LVEN.N0000,has_data/LVEN.N0000.json,1658,2016-01-04,2025-12-30,yes
CARE.N0000,has_data/CARE.N0000.json,1656,2016-01-19,2025-12-30,yes
CTEA.N0000,has_data/CTEA.N0000.json,1654,2016-01-04,2025-12-29,yes
YORK.N0000,has_data/YORK.N0000.json,1654,2016-01-03,2025-12-30,yes
TANG.N0000,has_data/TANG.N0000.json,1642,2016-01-04,2025-12-30,yes
HUNA.N0000,has_data/HUNA.N0000.json,1641,2016-01-05,2025-12-30,yes
SHOT.X0000,has_data/SHOT.X0000.json,1636,2016-01-04,2025-12-30,yes
SHOT.N0000,has_data/SHOT.N0000.json,1633,2016-01-04,2025-12-30,yes
CTHR.N0000,has_data/CTHR.N0000.json,1615,2016-01-04,2025-12-30,yes
JETS.N0000,has_data/JETS.N0000.json,1595,2018-01-04,2025-12-30,no
ONAL.N0000,has_data/ONAL.N0000.json,1580,2016-01-03,2025-12-30,yes
SOY.N0000,has_data/SOY.N0000.json,1571,2016-01-05,2025-12-30,yes
ASHO.N0000,has_data/ASHO.N0000.json,1542,2016-01-03,2025-12-30,yes
AMF.N0000,has_data/AMF.N0000.json,1541,2016-01-03,2025-12-30,yes
GEST.N0000,has_data/GEST.N0000.json,1538,2016-01-03,2025-12-30,yes
CFI.N0000,has_data/CFI.N0000.json,1532,2016-01-03,2025-12-30,yes
RFL.N0000,has_data/RFL.N0000.json,1526,2016-01-03,2025-12-30,yes
SHAW.N0000,has_data/SHAW.N0000.json,1511,2016-01-05,2025-12-30,yes
EBCR.N0000,has_data/EBCR.N0000.json,1497,2016-01-03,2025-12-30,yes
CINS.N0000,has_data/CINS.N0000.json,1485,2016-01-03,2025-12-29,yes
ATLL.N0000,has_data/ATLL.N0000.json,1478,2016-08-17,2025-12-30,yes
CERA.N0000,has_data/CERA.N0000.json,1475,2016-01-03,2025-12-30,yes
ALHP.N0000,has_data/ALHP.N0000.json,1451,2016-01-03,2022-04-28,yes
AUTO.N0000,has_data/AUTO.N0000.json,1446,2016-01-03,2025-12-30,yes
MCPL.N0000,has_data/MCPL.N0000.json,1389,2019-06-02,2025-12-30,no
TRAN.N0000,has_data/TRAN.N0000.json,1385,2016-01-04,2025-12-30,yes
NEH.N0000,has_data/NEH.N0000.json,1381,2016-01-12,2025-12-28,yes
SMOT.N0000,has_data/SMOT.N0000.json,1365,2016-01-03,2025-12-30,yes
LPL.N0000,has_data/LPL.N0000.json,1364,2019-10-29,2025-12-30,no
CHL.X0000,has_data/CHL.X0000.json,1344,2016-01-04,2025-12-30,yes
HNBF.N0000,has_data/HNBF.N0000.json,1327,2020-05-19,2025-12-30,no
RCH.N0000,has_data/RCH.N0000.json,1321,2017-11-20,2025-12-30,yes
SIL.N0000,has_data/SIL.N0000.json,1299,2016-01-05,2025-12-30,yes
CLC.N0000,has_data/CLC.N0000.json,1289,2016-01-03,2022-03-24,yes
LPL.X0000,has_data/LPL.X0000.json,1285,2019-10-29,2025-12-30,no
HUNT.N0000,has_data/HUNT.N0000.json,1273,2016-01-03,2025-12-30,yes
UCAR.N0000,has_data/UCAR.N0000.json,1222,2016-01-05,2025-12-30,yes
MSL.N0000,has_data/MSL.N0000.json,1212,2016-01-03,2025-12-30,yes
BLI.N0000,has_data/BLI.N0000.json,1173,2016-01-03,2022-01-06,yes
ETWO.N0000,has_data/ETWO.N0000.json,1160,2016-01-04,2025-12-30,yes
LAMB.N0000,has_data/LAMB.N0000.json,1139,2017-02-27,2025-12-30,yes
CIT.N0000,has_data/CIT.N0000.json,1126,2016-01-03,2025-12-30,yes
WIND.N0000,has_data/WIND.N0000.json,1123,2021-04-21,2025-12-30,no
LPRT.N0000,has_data/LPRT.N0000.json,1102,2016-01-03,2025-12-30,yes
PLR.N0000,has_data/PLR.N0000.json,1094,2021-06-07,2025-12-30,no
HNBF.X0000,has_data/HNBF.X0000.json,1093,2020-09-22,2025-12-30,no
BREW.N0000,has_data/BREW.N0000.json,1068,2016-01-06,2025-12-30,yes
JAT.N0000,has_data/JAT.N0000.json,1049,2021-08-11,2025-12-30,no
CWL.N0000,has_data/CWL.N0000.json,1048,2021-05-17,2025-12-30,no
EML.N0000,has_data/EML.N0000.json,1019,2021-09-26,2025-12-30,no
VLL.X0000,has_data/VLL.X0000.json,1010,2021-06-16,2025-12-30,no
PACK.N0000,has_data/PACK.N0000.json,990,2021-11-09,2025-12-30,no
LCBF.N0000,has_data/LCBF.N0000.json,986,2021-11-15,2025-12-30,no
HARI.N0000,has_data/HARI.N0000.json,971,2016-01-05,2025-12-30,yes
CALT.N0000,has_data/CALT.N0000.json,965,2021-12-14,2025-12-30,no
HBS.N0000,has_data/HBS.N0000.json,961,2021-12-20,2025-12-30,no
LGIL.N0000,has_data/LGIL.N0000.json,954,2021-12-30,2025-12-30,no
FCT.N0000,has_data/FCT.N0000.json,951,2021-12-22,2025-12-30,no
KPHL.N0000,has_data/KPHL.N0000.json,944,2022-01-06,2025-12-30,no
KDL.N0000,has_data/KDL.N0000.json,939,2016-01-05,2023-12-05,yes
HELA.N0000,has_data/HELA.N0000.json,929,2022-02-06,2025-12-30,no
SDF.N0000,has_data/SDF.N0000.json,910,2021-12-13,2025-12-30,no
COOP.N0000,has_data/COOP.N0000.json,899,2021-12-29,2025-12-30,no
CPRT.N0000,has_data/CPRT.N0000.json,892,2016-01-03,2025-12-30,yes
MDL.N0000,has_data/MDL.N0000.json,864,2021-12-27,2025-12-30,no
LUMX.N0000,has_data/LUMX.N0000.json,816,2022-06-22,2025-12-30,no
EXT.N0000,has_data/EXT.N0000.json,807,2022-03-29,2025-12-30,no
OFEQ.N0000,has_data/OFEQ.N0000.json,799,2016-01-03,2025-12-30,yes
SLND.N0000,has_data/SLND.N0000.json,784,2016-01-03,2025-12-29,yes
NTB.X0000,has_data/NTB.X0000.json,750,2018-03-06,2025-12-30,no
PARA.N0000,has_data/PARA.N0000.json,678,2016-01-03,2025-12-30,yes
SING.N0000,has_data/SING.N0000.json,660,2016-01-03,2025-12-08,yes
UBF.N0000,has_data/UBF.N0000.json,575,2023-08-13,2025-12-30,no
AGPL.N0000,has_data/AGPL.N0000.json,560,2023-09-03,2025-12-30,no
AFS.N0000,has_data/AFS.N0000.json,554,2023-02-28,2025-12-30,no
GOOD.N0000,has_data/GOOD.N0000.json,531,2016-01-07,2023-05-15,yes
SFCL.N0000,has_data/SFCL.N0000.json,504,2016-12-19,2025-12-30,yes
AAF.P0000,has_data/AAF.P0000.json,501,2021-08-22,2025-12-30,no
COF.U0000,has_data/COF.U0000.json,476,2016-01-03,2020-11-18,yes
MFPE.N0000,has_data/MFPE.N0000.json,344,2024-07-25,2025-12-30,no
CSLK.N0000,has_data/CSLK.N0000.json,331,2024-08-13,2025-12-30,no
NAVF.U0000,has_data/NAVF.U0000.json,285,2016-01-03,2019-09-24,yes
SWAD.N0000,has_data/SWAD.N0000.json,249,2016-02-01,2025-12-30,yes
AGST.X0000,has_data/AGST.X0000.json,96,2022-01-04,2025-12-30,no
MERC.N0000,has_data/MERC.N0000.json,48,2016-12-05,2025-12-30,no
JFP.N0000,has_data/JFP.N0000.json,29,2025-11-18,2025-12-30,no
INME.N0000,has_data/INME.N0000.json,21,2025-11-30,2025-12-30,no
AFSL.R0000,has_data/AFSL.R0000.json,17,2016-03-31,2022-09-26,no
DFCC.R0000,has_data/DFCC.R0000.json,11,2019-04-09,2022-04-28,no
HVA.R0000,has_data/HVA.R0000.json,10,2022-03-27,2024-09-08,no
ASPM.N0000,has_data/ASPM.N0000.json,7,2022-01-09,2022-10-13,no
ACME.R0000,has_data/ACME.R0000.json,6,2022-07-10,2022-07-18,no
AGST.R0000,has_data/AGST.R0000.json,6,2022-01-30,2022-02-07,no
AGST.R0001,has_data/AGST.R0001.json,6,2022-01-30,2022-02-07,no
BALA.R0000,has_data/BALA.R0000.json,6,2022-12-08,2022-12-15,no
CFI.R0000,has_data/CFI.R0000.json,6,2022-05-30,2022-06-06,no
HSIG.R0000,has_data/HSIG.R0000.json,6,2022-08-14,2022-08-21,no
STAF.R0000,has_data/STAF.R0000.json,6,2022-08-14,2022-08-21,no
SHL.W0000,has_data/SHL.W0000.json,1,2024-12-04,2024-12-04,no
